,drain_V,gate_V,drain_I
0,-5.0,0.0,-4.88297e-11
1,-5.0,-0.05,-4.18125e-11
2,-5.0,-0.1,-3.92814e-11
3,-5.0,-0.15000000000000002,-3.80398e-11
4,-5.0,-0.2,-3.73522e-11
5,-5.0,-0.25,-3.70433e-11
6,-5.0,-0.30000000000000004,-3.6798e-11
7,-5.0,-0.35000000000000003,-3.61714e-11
8,-5.0,-0.4,-3.57269e-11
9,-5.0,-0.45,-3.52037e-11
10,-5.0,-0.5,-3.511e-11
11,-5.0,-0.55,-3.4789e-11
12,-5.0,-0.6000000000000001,-3.45036e-11
13,-5.0,-0.65,-3.4134e-11
14,-5.0,-0.7000000000000001,-3.40943e-11
15,-5.0,-0.75,-3.36487e-11
16,-5.0,-0.8,-3.35273e-11
17,-5.0,-0.8500000000000001,-3.3322e-11
18,-5.0,-0.9,-3.30732e-11
19,-5.0,-0.9500000000000001,-3.28329e-11
20,-5.0,-1.0,-3.24571e-11
21,-5.0,-1.05,-3.26485e-11
22,-5.0,-1.1,-3.21499e-11
23,-5.0,-1.1500000000000001,-3.20181e-11
24,-5.0,-1.2000000000000002,-3.16052e-11
25,-5.0,-1.25,-3.18147e-11
26,-5.0,-1.3,-3.30501e-11
27,-5.0,-1.35,-3.75962e-11
28,-5.0,-1.4000000000000001,-5.30015e-11
29,-5.0,-1.4500000000000002,-1.11384e-10
30,-5.0,-1.5,-3.05439e-10
31,-5.0,-1.55,-1.04141e-09
32,-5.0,-1.6,-3.77011e-09
33,-5.0,-1.6500000000000001,-1.4106e-08
34,-5.0,-1.7000000000000002,-5.3392e-08
35,-5.0,-1.75,-1.94216e-07
36,-5.0,-1.8,-6.44861e-07
37,-5.0,-1.85,-1.83268e-06
38,-5.0,-1.9000000000000001,-4.27641e-06
39,-5.0,-1.9500000000000002,-8.43297e-06
40,-5.0,-2.0,-1.46193e-05
41,-5.0,-2.0500000000000003,-2.28776e-05
42,-5.0,-2.1,-3.32737e-05
43,-5.0,-2.15,-4.58437e-05
44,-5.0,-2.2,-6.06095e-05
45,-5.0,-2.25,-7.73614e-05
46,-5.0,-2.3000000000000003,-9.61045e-05
47,-5.0,-2.35,-0.000116993
48,-5.0,-2.4000000000000004,-0.000139667
49,-5.0,-2.45,-0.000164222
50,-5.0,-2.5,-0.000190795
51,-5.0,-2.5500000000000003,-0.000218977
52,-5.0,-2.6,-0.000248902
53,-5.0,-2.6500000000000004,-0.00028079
54,-5.0,-2.7,-0.000314079
55,-5.0,-2.75,-0.000349059
56,-5.0,-2.8000000000000003,-0.000385853
57,-5.0,-2.85,-0.000423973
58,-5.0,-2.9000000000000004,-0.000463531
59,-5.0,-2.95,-0.000504857
60,-5.0,-3.0,-0.000547365
61,-5.0,-3.0500000000000003,-0.000591274
62,-5.0,-3.1,-0.000636876
63,-5.0,-3.1500000000000004,-0.00068364
64,-5.0,-3.2,-0.000731634
65,-5.0,-3.25,-0.000781315
66,-5.0,-3.3000000000000003,-0.000831939
67,-5.0,-3.35,-0.000883818
68,-5.0,-3.4000000000000004,-0.000937298
69,-5.0,-3.45,-0.000991737
70,-5.0,-3.5,-0.000999933
71,-5.0,-3.5500000000000003,-0.000999933
72,-5.0,-3.6,-0.000999933
73,-5.0,-3.6500000000000004,-0.000999935
74,-5.0,-3.7,-0.000999937
75,-5.0,-3.75,-0.000999937
76,-5.0,-3.8000000000000003,-0.000999937
77,-5.0,-3.85,-0.000999936
78,-5.0,-3.9000000000000004,-0.000999936
79,-5.0,-3.95,-0.000999936
80,-5.0,-4.0,-0.000999935
81,-5.0,-4.05,-0.000999936
82,-5.0,-4.1000000000000005,-0.000999936
83,-5.0,-4.15,-0.000999934
84,-5.0,-4.2,-0.000999934
85,-5.0,-4.25,-0.000999934
86,-5.0,-4.3,-0.000999936
87,-5.0,-4.3500000000000005,-0.000999936
88,-5.0,-4.4,-0.000999934
89,-5.0,-4.45,-0.000999936
90,-5.0,-4.5,-0.000999936
91,-5.0,-4.55,-0.000999934
92,-5.0,-4.6000000000000005,-0.000999935
93,-5.0,-4.65,-0.000999934
94,-5.0,-4.7,-0.000999933
95,-5.0,-4.75,-0.000999934
96,-5.0,-4.800000000000001,-0.000999934
97,-5.0,-4.8500000000000005,-0.000999935
98,-5.0,-4.9,-0.000999936
99,-5.0,-4.95,-0.000999934
100,-5.0,-5.0,-0.000999935
